index,name,address,phone,website,description
Beauvine Burger Concept,Beauvine Burger Concept,"1501 W Main St, Richmond, VA 23220, United States",(804) 592-5592,http://www.beauvineburger.com/,"We recommend Beauvine Burger Concept!
Located in the thriving heart of the Museum District, Beauvine Burger Concept brings innovation and creativity to the classic American burger. This hotspot is well-regarded for their gourmet burgers, hand-cut fries, and craft cocktails that continually redefine the classic burger-and-beer combo. With the added touch of homemade ice cream, it’s evident that their commitment goes beyond your regular burger experience. Beauvine's attention to detail and focus on quality is reflected in their prices, with a dinner for two costing around $30 - $40."
Cobra Burger,Cobra Burger,"400 N 27th St, Richmond, VA 23223, United States",(804) 643-8824,http://www.cobraburger.com/,"We recommend checking out Cobra Burger! 
Whether you're a long-time resident or a hungry traveler passing through Richmond's buzzing Union Hill area, Cobra Burger's fresh, flavorful patties and playful veggie options are a must-try. Embracing transparency with their locally-sourced ingredients, Cobra Burger tantalizes local palates with unique condiments like spicy Cobra sauce, truffle ranch, and housemade Cobra pickles, upgrading your run-of-the-mill burger to an edible masterpiece. The price range of a dinner sits comfortably between $20 - $30, effortlessly combining affordable dining with gastronomical delight."
Cobra Cabana,Cobra Cabana,"901 W Marshall St, Richmond, VA 23220, United States",(804) 303-3577,https://cobracabanarva.square.site/,"We recommend Cobra Cabana! 
Located in the vibrant Carver neighborhood of Richmond, Cobra Cabana is an edgy and artistic twist on the classic bar and grill. Serving up a mix of American comfort food infused with fresh, local Virginia fare, this quirky eatery is a go-to place for food lovers. From indulgent cheesy steak to delicious vegan options, there’s something for everyone at Cobra Cabana. Don't forget to try their signature cocktails, which add significant flare to the venue. Note that the price range for a dinner is quite reasonable at $20 - $30 for two."
Eazzy Burger,Eazzy Burger,"3204 W Leigh St, Richmond, VA 23230, United States",Not found,http://www.eazzyburger.com/,"We recommend Eazzy Burger!
This Richmond gem is a staple in the Shockoe Bottom district, championing the craft of the perfect burger. With a palette-seducing menu that'll have you forced to make tricky choices, Eazzy Burger specializes in gourmet burger delights that you'll be hard-pressed to find replicated elsewhere in RVA. With options ranging from the Classic American to more adventurous offerings like the Mint Lhamburg, it’s no wonder this eatery has garnered a considerable following. It’s a haven for the burger enthusiast, with each dish served being an unrivaled delight. The price for a dinner at Eazzy Burger averages between $30-$40 for two, making it a superb choice that keeps high quality without sacrificing your wallet."
Smashed RVA,Smashed RVA,"1600 Brook Rd, Richmond, VA 23220, United States",(804) 988-2136,https://order.toasttab.com/online/smashedrva?fbclid=PAAaa0Vbjq1EncS4dYUJVwlnehkJEo2ytvdrFCZCCcVKM1c3x1K9xnZDi_cJw_aem_Ae6_qwALnv9vaMAJI76A6Ox1afHmwmlUfs3vRXTk_d5OXn4cp8AZLlFBsYzTFsl6V6s,"We recommend Smashed RVA!
Smashing boundaries and redefining burgers, Smashed RVA is leaving its own unique stain on the canvas of Richmond's culinary scene. Seated cozily in the city’s flourishing Scott’s Addition neighborhood, this vibrant eatery cranks up the traditional burger game with its unique smash-seared Angus beef patties, butter-toasted buns and mouth-watering specialty toppings. A meal at Smashed RVA transcends expectations, with sides like spicy garlic parmesan fries as unexpected as they are irresistible. Looking to have a flipping good time? Expect a budget of about $30 - $40 for a smashing dinner for two."
Garnetts,Garnett's,"2001 Park Ave, Richmond, VA 23220, United States",(804) 367-7909,http://www.garnettscafe.com/,"We recommend Garnett's!
Tucked away in the charming Fan District of Richmond, Garnett's is your go-to for a classic sandwich and soup kind of night. This cozy spot masters the art of homestyle cooking, serving up heaping helpings of nostalgia with their signature sandwich the Garnett and their fan-favorite dish, Chicken Paillard. Whether you're out for a quick weekday lunch or looking for a casual comforting dinner, Garnett's has got you covered, with dinner for two coming in between $25-$35."
Stanleys,Stanley's,"2601 Park Ave, Richmond, VA 23220, United States",Not found,http://stanleysrva.com/,"We recommend StanleysNext!
StanleysNext is an undisputed culinary gem nestled in the historic neighborhood of Church Hill in Richmond, VA. This joint presents its anything-but-ordinary approach to food with unique takes on nostalgic American classics. Specializing in sandwiches with a gourmet twist and a broad array of locally sourced craft beer, StanleysNext holds the reigns of reinventing comfort food. Enjoy their savory offerings such as the StanleysStack or the Chicken Schnitzel while you unwind in a welcoming yet intimate atmosphere. Prepare to budget around $20 - $30 for a satisfying dinner for two."
Perlys,Perly's,"111 E Grace St, Richmond, VA 23219, United States",(804) 912-1560,https://www.perlysrichmond.com/,"We recommend Perly's!
Located in the heart of Richmond's bustling restaurant district, Perly's is a must-visit for lovers of authentic Jewish deli cuisine. A classic neighborhood spot in downtown RVA, Perly's specialties range from in-house prepared corned beef and pastrami sandwiches to mouth-watering matzah ball soup and scrumptious brisket. Known for bringing an outstanding blend of traditional and innovative flavors, this charming deli-style restaurant would surely make your dinner delightful. For a budget-conscious diner, a lavish feast for two at Perly's would typically set you back around $30-$40."
Secret Sandwich Society,Secret Sandwich Society,"501 E Grace St, Richmond, VA 23219, United States",(804) 644-4777,http://www.secretsandwichsociety.com/,"We recommend the Secret Sandwich Society!
Housed in the historic downtown Richmond, this eatery adds a creative twist to America’s favorite - sandwiches. Prepared with a surge of ingenuity, the Secret Sandwich Society goes above and beyond the typical ham and cheese, offering an assortment of sandwiches named after U.S. Presidents and States that'll keep you coming back for more. Alongside your meal, they also serve an array of burgers, salads, and unique craft beers completing this dining adventure. Dining at the Secret Sandwich Society is an experience that goes easy on the wallet, with a dinner for two generally totaling around $30 - $40."
Chioccas,Chiocca's,"425 N Belmont Ave, Richmond, VA 23221, United States",(804) 355-3228,Not found,"We recommend checking out Chiocca's!
Nestled in the heart of The Fan District of Richmond, historic Chiocca’s is a hidden Italian gem, treasuring authenticity within its quaint basement setting. Drawing huge acclaim, Chiocca's is known for their irresistible, hearty sandwiches; particularly their classic Italian Sub and The Beast. This old-world delight, coming from a family of Italian deli tradition of more than six decades, compels the tastebuds to embark on a flavorful journey down the memory lane of the Old Continent. Look forward to spending approximately $20 - $30 for a delightful dinner for two."
Lucky AF,Lucky AF: Asian Fusion & Sushi,"3103 W Leigh St, Richmond, VA 23230, United States",(804) 905-9888,http://www.getluckyaf.com/,"We recommend Lucky AF!
Situated in the lively neighborhood of Carytown in Richmond, Lucky AF, also known as Lucky AF Sushi, is true to its name, providing a stroke of good fortune to sushi enthusiasts in the form of their innovative and flavorful offerings. Their menu features unique sushi concoctions alongside traditional rolls, ensuring a delightful mix of fusion and authenticity. Always fresh, and always intriguing, this dining spot provides a unique twist on classic sushi. You can expect to shell out approximately $20 - $40 for a dinner for two."
Fighting Fish,Fighting Fish Scott’s Addition,"912 N Arthur Ashe Blvd, Richmond, VA 23230, United States",(804) 562-1546,http://fightingfishrva.com/,"We recommend Fighting Fish! 
Located in the bustling Jackson Ward neighborhood of Richmond, Fighting Fish is a standout bringing the best sushi and innovative Asian fusion to RVA. Specializing in both authentic sushi and unique poke bowls, Fighting Fish makes each plate a vibrant festival of fresh, high-quality seafood. Their reasonably priced menu offers plenty of selection for everyone from sushi novices to experienced enthusiasts, making it the ultimate destination for a casual lunch or a cozy dinner. Expect to spend approximately $30 - $40 for a delightful dinner for two."
Sumo San,Sumo San Restaurant,"1725 E Main St, Richmond, VA 23223, United States",(804) 643-6500,http://www.sumosanrva.com/,"We recommend Sumo San!
Tucked away in Richmond's historic Shockoe Bottom neighborhood, Sumo San stands as a testament to the dynamic culinary expertise of sushi craftsmanship. Sumo San takes pride in their vast array of Japanese delicacies, ranging from flavor-packed sushi rolls to scrumptious ramen bowls. The raw passion for artful sushi creation permeates every bite of their specialties such as the spicy tuna roll and Sumo San roll. Dinner for two will land in the vicinity of $50-$70, granting you an unforgettable encounter with authentic Japanese cuisine without breaking the bank."
Osaka Sushi and Steak,Osaka Sushi & Steak,"5023 Huguenot Rd, Richmond, VA 23226, United States",(804) 288-8801,http://osakasushiva.com/,"We recommend Osaka Sushi and Steak!
Nestled in the bustling neighborhood of Bon Air, Richmond, Osaka Sushi and Steak offers both artful sushi concoctions and perfectly seared steaks in an upscale yet relaxed setting. This sizzling hot spot provides an authentic fusion of Japanese and Western cuisine with a notable flair, making their spicy tuna roll and prime steak offerings an irresistible specialty. Whether you're craving expertly rolled sushi or an intensely flavorful hibachi-cooked steak, Osaka won't disappoint. Anticipate spending in the range of $60 - $80 for a satisfying dinner for two."
Akida,Akida,"606 N Sheppard St, Richmond, VA 23221, United States",(804) 359-8036,https://www.facebook.com/Akida-Japanese-Restaurant-122588479252/,"We recommend AkidaNext!
Situated in the heart of Richmond’s Museum District, AkidaNext is captivating locals and tourists alike with its remarkable sushi menu. This renowned dining destination delivers everything from traditional sushi and sashimi plates to contemporary, innovative rolls and light-as-air tempura. AkidaNext's skillfully crafted cuisine seizes the essence of authentic Japanese gastronomy, without leaving a hole in your wallet. A dinner for two will generally cost between $30 - $40. Don't miss this vibrant eatery on your RVA adventure map!"
Goatocado,Goatocado,"1823 W Main St, Richmond, VA 23220, United States",(804) 464-8226,http://www.goatocado.com/,"We recommend Goatocado!
Situated in the vibrant Carytown neighborhood of Richmond, Goatocado specializes in flavorful, health-focused globetrotting dishes. From their signature quinoa bowls to their vegan and gluten-free options, this restaurant is all about promoting sustainable, mindful eating without sacrificing taste or satisfaction. Combining elements from various cuisines, Goatocado takes you on an international culinary journey with each bite. Dinner for two will typically run you between $20 - $30, making it a deliciously affordable adventure in RVA."
821 Cafe,821 Cafe,"825 W Cary St, Richmond, VA 23220, United States",(804) 649-1042,http://www.821rva.com/,"We recommend 821 Cafe!
A cornerstone in the heart of The Fan District, 821 Cafe takes breakfast and lunch to the next level. The cafe is celebrated for their breakfast sandwiches, vegan options, and exceptional coffee. Late risers can even take advantage of their all-day breakfast. Portion sizes are hefty leaving no stomach unsatisfied, and the vegetarian- and vegan-friendly options ensure all eaters' tastes are catered to. Rich in flavor and history, this eatery is exceptional for any food lover. You should anticipate spending about $20 - $30 for a dinner for two."
Sabai,Sabai,"2727 W Broad St, Richmond, VA 23220, United States",(804) 367-4992,https://www.sabairichmond.com/,"We recommend Sabai! 
Tucked away on the Broad Street corridor, close to the arts district, Sabai is a gem serving authentic Thai street food with a twist in Richmond, VA. Think dishes like spicy fried rice, Gai Yam Hang, and exceptional Khao Soi. Not to mention, its decor, complete with Thai-inspired touches, lends a striking and unique backdrop to your dining experience. Be prepared for prices that reflect the eatery's reputation for exceptional quality and presentation, as a dinner for two usually ranges from $50-$70."
Nile Ethiopian,Buna Kurs Ethiopian Cafe,"402 1/2 N 2nd St Suite A, Richmond, VA 23219, United States",(804) 277-9411,https://bunakursrva.com/,"We recommend Nile Ethiopian!
Situated in Richmond's unique Carytown neighborhood, Nile Ethiopian offers authentic Ethiopian cuisine in a warm, inviting atmosphere. The restaurant has built its reputation on specialty dishes like the Yebeg Tibs, Lamb based delicacies and timeless classics like the Doro Wat - a spicy chicken stew. Nile Ethiopian has a splendid vegan options as well, making it a place for everyone. The beautiful hand-woven mesobs and traditional Ethiopian artifacts further accentuate your dining experience. Expect an average dinner for two to cost around $30 - $40."
Harrison Street Cafe,Harrison Street Cafe,"402 N Harrison St, Richmond, VA 23220, United States",(804) 359-8060,http://www.harrisonstcafe.com/,"We recommend Harrison Street Cafe!
Affectionately nestled in the heart of the Fan District, Harrison Street Cafe serves up a unique and wholesome culinary experience. With a penchant for mouth-watering vegetarian and vegan cuisine, this cafe unmistakably champions the plant-based charge in Richmond's bustling food scene. From their renowned tofu scrambles to their innovative vegan pastries, each meal embodies the restaurant's commitment to healthy, sustainable, and delicious dining. A dinner for two at Harrison Street Cafe is usually in the $20 - $30 range, allowing you to savor the flavors without breaking the bank."
Roots Natural Kitchen,Roots Natural Kitchen,"939 W Grace St, Richmond, VA 23220, United States",(804) 477-7315,http://www.rootsnaturalkitchen.com/,"We recommend Roots Natural Kitchen!
Situated in Richmond's bustling University district, Roots Natural Kitchen is the reverie of every health-conscious gourmand. Championing wholesome, nutrient-packed dishes, this restaurant invites you to indulge in nature's bounty as never before. Choose from a vibrant array of fresh, seasonally-inspired bowls or salads, each serving a pure staccato of color, taste, and texture. From the earthy quinoa and sweet potatoes to tender grilled chicken and vibrant veggies, you'll explore a diverse spectrum of flavors. The charm of Roots Natural Kitchen lies not only in its alluring, rustic ambiance but also in its reasonable pricing. You can usually expect to rake up just $20 - $30 for a mouth-watering dinner for two."
Lemon Cuisine of India,Lemon Cuisine of India,"3215 W Broad St, Richmond, VA 23230, United States",(804) 204-1800,https://www.lemoncuisineofindia.net/,"We recommend Lemon Cuisine of India!
Indulge in the robust brilliant flavors found in the heart of RVA’s Fan District. Lemon Cuisine of India serves a specialty menu layered with traditional, mindfully spiced dishes that transport you directly to Old Delhi with every bite. From Chicken Tikka Masala to fragrant Biryani and creamy Saag Paneer, your taste buds are guaranteed an exotic culinary journey. Pair your sumptuous meal with naan bread fresh from the tandoor, perfectly scorched and butter-kissed. Lemon Cuisine reflects the rich tapestries of Indian cuisine with each entrée finely tuned to palatable perfection. Expect to spend roughly between $30 to $50 for a two-person dinner."
Mekong,Mekong Restaurant,"6004 W Broad St, Richmond, VA 23230, United States",(804) 288-8929,http://mekongisforbeerlovers.com/,"We recommend Mekong!
An undisclosed gem in Richmond's Broad Street district is a Vietnamese classic - Mekong. Pulling from traditional cuisine, Mekong thrives with its time-honored staples such as Pho and Bánh Mì, each dish brimming with the authentic flavors of Vietnam. They've also cultivated a stellar reputation for their extensive beer selection which further enhances the gastronomic adventure. Anticipate a bill ranging from $30 to $50 for a dinner for two, a price worth every single delightful bite."
Tulsi Indian Cuisine,Tulsi Indian Cuisine,"3131 W Cary St, Richmond, VA 23221, United States",(804) 353-3300,https://www.tulsiinrichmond.com/,"We recommend Tulsi Indian Cuisine!
Located in the bustling Shockoe Bottom neighborhood of Richmond, Tulsi Indian Cuisine serves up rich, aromatic dishes that are a delightful dance of flavors. Specializing in traditional Northern and Southern Indian fares, Tulsi gives a unique twist to classics such as Tandoori and Biryani. Foodies rave about their creamy Butter Chicken and the piping hot Garlic Naan, each bite exuding a harmony of spices typical of Indian cuisine. Expect to shell out between $30 - $50 for a dinner for two at this gem of a restaurant."
Moms Siam,Mom's Siam Restaurant,"2811 W Cary St, Richmond, VA 23221, United States",(804) 359-7606,http://momsiam.com/,"We recommend Moms Siam!
Earning its place in the heart of Carytown is Moms Siam, your go-to destination for authentic Thai cuisine in Richmond. Taking RVA's Thai food scene by storm, this gem exhibits a scrumptious mix of traditional dishes like Pad Thai, and creative house specials like the Siam Seafood Sampler. The decor mimics the colorful streets of Thailand, creating a comfortable and authentic environment. Winning the diners with its tantalizing flavors and vibrant atmosphere, plan to spend between $20 - $30 for a dinner for two at this Carytown hotspot."
Pho Tay Do,Pho Tay Do,"6328 Rigsby Rd, Richmond, VA 23226, United States",(804) 288-3861,https://m.facebook.com/Pho-Tay-Do-642042532553738/,"We recommend Pho Tay Do!
Tucked away in the bustling neighborhood of Horsepen, Pho Tay Do is a haven for anyone craving authentic Vietnamese cuisine. This restaurant is renowned for its specialty dish, Pho, serving a variety of versions of this hearty, aromatic soup. Their menu also extends to other Vietnamese staples, like delicately wrapped spring rolls and sizzling rice dishes. The restaurant’s cozy setting, paired with its unwavering commitment to flavor, makes it a standout in Richmond's vibrant culinary scene. Expect to spend around $25 - $35 for a dinner for two."
Pho Luca,Pho Luca's,"2915 W Cary St, Richmond, VA 23221, United States",(804) 254-9588,https://www.pholucas.com/,"We recommend Pho Luca's!
Situated in the vibrant neighborhood of Richmond's North Chesterfield, Pho Luca's is a culinary gem highlighting authentic Vietnamese fare. This establishment's specialty is surely in its name, masterfully crafting bowls of delectable pho that are bound to satiate your palate, alongside an array of other Vietnamese treasures. Pho Luca's blends aromatic herbs and spices deftly to provide a dining experience that is both comforting and invigorating. If you're considering a dinner visit, anticipate an outlay in the vicinity of $20 - $30 for a satisfying meal for two."
Pho Thein Phat / Pho So 1,Pho Thien Phat,"6403 Rigsby Rd, Richmond, VA 23226, United States",(804) 673-9940,Not found,"We recommend Pho Thein Phat / Pho So 1!
A long-standing staple in the local food scene of West End, this dining haven specializes in Vietnamese delicacies, particularly the renowned Vietnamese noodle soup, pho, and the crisp, savory spring rolls. Pho Thein Phat, also known as Pho So 1, distinctively adopts the southern style of pho, featuring rich, fragrant broth subtly combined with fresh herbs and rice noodles. The restaurant offers an extensive menu including various beef or chicken pho options, vermicelli rice noodle dishes, and unforgettable Vietnamese iced coffee. Expect to spend around $20 - $30 for a dinner for two."
City Dogs,City Dogs,"1309 W Main St #4851, Richmond, VA 23220, United States",(804) 359-3647,https://www.citydogsrva.com/,"We recommend City Dogs! Tucked away in the energetic Fan District of Richmond, City Dogs is an indisputable local favorite. While the name might give it away, City Dogs is especially known for its extensive range of gourmet hot dogs, but don't forget the highly-praised tater tots and draft beers that round out their delightful menu. With heritage rooted in city life, each succulent bite will remind you of those quintessential metropolitan flavors. Dinner here, including drinks, will typically set you back around $20-$30."
Black Lodge,Black Lodge,"3200 Rockbridge St #101, Richmond, VA 23230, United States",(804) 965-3331,https://rvablacklodge.com/,"We recommend Black Lodge!
Are you ready to be transported into a diner straight out of a David Lynch movie? Welcome to Richmond's Black Lodge, nuzzling up to the heart of Scott's Addition. This unique gem is something straight out of a dream, serving up decadently creative dishes that take comfort food to a whole new sphere. For sweets, the 'Cherry Pie' is a must-try, but their rotating specialty menu items never fail to impress. Immerse yourself in the ambiance of vintage-mystery interlaced with premium dining, without breaking the bank; a dinner at Black Lodge will set you back around $30 - $40 for two, making it an affordable trip into the extraordinary."
Horne Dogs,Ray's Dog House,"401 N 1st St, Richmond, VA 23219, United States",(804) 644-3848,Not found,"We recommend Horne Dogs!
Nestled in the heart of Richmond's bustling Fan District, Horne Dogs has quickly established itself as a go-to spot for gourmet hot dogs and artisanal sausages. With a menu boasting unique creations and traditional favorites, Horne Dogs adds its own spin to a classic American food, using only the highest quality, locally sourced ingredients for a difference you can taste. Whether you're a fan of the traditional or prefer to venture into the world of unconventional toppings, Horne Dogs has it covered. The price for a dinner ranges between $20 - $30 for a unique dining experience."
Fat Kid Sandwiches inside Hatch Local,Fat Dragon Chinese Kitchen and Bar,"1200 N Arthur Ashe Blvd, Richmond, VA 23230, United States",(804) 354-9888,http://www.fatdragonrva.com/,"We recommend Fat Kid Sandwiches!
Tucked away in the bustling Scott's Addition neighborhood, Fat Kid Sandwiches serves as a gem amidst Richmond's eclectic culinary scene. Housed inside Hatch Local, this inventive eatery emphasizes the philosophy of more is more, presenting a hearty range of sandwiches, piled high with creative, flavorsome fillings. Alongside classic deli favorites, Fat Kid Sandwiches showcases Richmond's local flair with offerings such as the Virginia Cuban and Honey Baked Ham. An ideal spot for sandwich connoisseurs and food lovers alike, expect a satisfying dinner for two within the range of $20 - $30."
Melitos,Melito's Restaurant,"8815 Three Chopt Rd, Richmond, VA 23229, United States",(804) 285-1899,http://melitos.com/,"We recommend Melito's!
Situated in Richmond's West End neighborhood, Melito's offers a delicious immersion into Southern favorites with a dash of classic Greek flavors. The specialty at Melito’s is their renowned Greek salad, along with an array of Southern comfort foods - all of which have successfully kept patrons returning for over three decades. The atmosphere interweaves the charm of a southern diner with the warmth of a family-run Greek eatery. Plan to spend a reasonable $30 - $40 for a hearty dinner for two."
Peter Chang Richmond,Peter Chang,"2816 W Broad St A, Richmond, VA 23230, United States",(804) 728-1820,http://peterchangrichmond.com/,"We recommend Peter Chang Richmond!
Nestled in the bustling neighborhood of Scott’s Addition, Peter Chang delivers an authentic Szechuan dining experience that is bound to spice up your taste buds. As one of the most renowned Chinese chefs, Peter Chang’s kitchen serves up a range of mouth-watering delicacies from hot and numbing beef to dry-fried eggplant. The restaurant's artistic decor further amplifies the exotic Shanghai ambiance. The dishes are tantalizingly delicious, offering the kind of real depth and subtlety of flavors that take one straight to southwestern China. Budget around $50 - $60 for a savory dinner for two."
Full Kee,Full Kee Restaurant,"6400 Horsepen Rd, Richmond, VA 23226, United States",(804) 673-2233,Not found,"We recommend Full Kee!
Housed within the vibrant Chinatown neighborhood of Richmond, Full Kee is an acclaimed hub for authentic Chinese cuisine. Known for its rich and diverse menu that is masterfully prepared, the restaurant specializes in delectable seafood offerings, such as shrimp dumplings and shark fin soup, along with a variety of outstanding, traditional dishes that ensure a culinary journey to Eastern Asia. A dinner for two at Full Kee typically falls within the affordable price range of $30 - $40. Richmonders, there's no denying Full Kee sets the bar high in the realm of Chinese dining in our beloved city."
Joes Inn the Fan,Joe's Inn the Fan,"205 N Shields Ave, Richmond, VA 23220, United States",(804) 355-2282,http://www.joesinnrva.com/,"We recommend Joe's Inn the Fan!
Smack dab in the heart of Richmond's historic Fan District, Joe's Inn the Fan is a culinary institution that's been regaling locals and visitors since 1952. The eatery’s secret lies in its homemade comfort-food menu encompassing a dizzying array of mouthwatering favorites. Their specialties include their award-winning spaghetti a la Joe - which they sell by the ton, but their hearty list of sandwiches, salads, and breakfast dishes cater to all sorts of cravings. This is an ideal place for those seeking to revel in a robust meal, without causing a dent in the wallet, expect to spend around $20 - $30 for a dinner for two."
Fat Dragon,Fat Dragon Chinese Kitchen and Bar,"1200 N Arthur Ashe Blvd, Richmond, VA 23230, United States",(804) 354-9888,http://www.fatdragonrva.com/,"We recommend Fat Dragon! 
Nestled in Richmond's Scott's Addition neighborhood, Fat Dragon boasts a fiery fusion of Chinese culinary traditions blended with an international flair. This trendy restaurant is a beacon of Richmond's love for unique, flavorful dishes. The aroma of Szechuan Beef Noodles and General Tso’s Chicken fills the air, luring those seeking a classic Chinese delicacy, while their Kung Pao Brussels Sprouts are a hit among the local vegetarians. Fat Dragon’s impressive menu pairs brilliantly with their vast selection of craft beers and global wines. A dinner for two at this buzzing spot will typically set you back around $30 - $50."
